"relevo_elevacao","coord_x","coord_y","relevo_local","relevo_declividade","relevo_posicao","taxon"
587,482376,7457538,"suave ondulado",4,"Topo","Latossolo Vermelho Distrófico típico"
609,481641,7457538,"plano",1,"Topo","Latossolo Vermelho Distrófico típico"
618,480370,7455643,"suave ondulado",5,"Terço superior","Latossolo Vermelho Distrófico típico"
620,480711,7454363,"plano",2,"Topo","Latossolo Vermelho Distrófico típico"
618,481993,7450344,"suave ondulado",5,"Topo","Latossolo Vermelho Eutroférrico típico"
454,464621,7450098,"plano",2,"Terço superior","Latossolo Vermelho Eutroférrico típico"
421,469859,7455447,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
427,471780,7453316,"suave ondulado",6,"Terço superior","Latossolo Vermelho Eutroférrico típico"
461,471379,7457618,"suave ondulado",5,"Terço superior","Latossolo Vermelho Eutroférrico típico"
404,467374,7460831,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
413,470507,7463681,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
553,477080,7460197,"plano",1,"Topo","Latossolo Vermelho Eutroférrico típico"
560,477000,7458000,"suave ondulado",6,"Topo","Latossolo Vermelho Eutroférrico típico"
560,482722,7468918,"ondulado",15,"Terço inferior","Latossolo Vermelho Eutroférrico típico"
575,482376,7461944,"plano",1,"Topo","Chernossolo Háplico Férrico típico"
589,479180,7438038,"suave ondulado",8,"Terço superior","Latossolo Vermelho Eutroférrico típico"
543,478690,7442400,"suave ondulado",7,"Terço médio","Latossolo Vermelho Eutroférrico típico"
461,481401,7464356,"ondulado",14,"Terço médio","Chernossolo Háplico Férrico típico"
510,470804,7460197,"suave ondulado",7,"Terço médio","Latossolo Vermelho Eutroférrico típico"
525,471379,7436970,"plano",1,"Topo","Latossolo Vermelho Distrófico típico"
505,497959,7395608,"ondulado",18,"Terço médio-inferior","Neossolo Regolítico Eutrófico típico"
505,469859,7449447,"ondulado",14,"Terço médio-inferior","Nitossolo Vermelho Eutroférrico típico"
480,481641,7436970,"suave ondulado",4,"Topo","Latossolo Vermelho Distrófico típico"
330,471379,7438038,"suave ondulado",5,"Terço superior","Latossolo Vermelho Eutroférrico típico"
587,482722,7438393,"ondulado",10,"Terço médio-inferior","Nitossolo Vermelho Eutroférrico típico"
613,471304,7422786,"plano",2,"Terço superior","Latossolo Vermelho Distroférrico Típico"
608,470978,7422209,"ondulado",16,"Terço inferior","Latossolo Vermelho Distroférrico Típico"
625,472804,7420230,"plano",2,"Terço médio","Latossolo Vermelho Distroférrico Típico"
596,470590,7420416,"forte ondulado",29,"Terço médio","Neossolo Regolítico Eutrófico Típico"
567,470440,7420235,"forte ondulado",26,"Terço Inferior","Nitossolo Vermelho Eutroférrico Típico"
665,469279,7415881,"plano",2,"Topo","Latossolo Vermelho Distroférrico Típico"
575,472224,7412033,"suave ondulado",4,"Terço médio","Latossolo Vermelho Eutroférrico Típico"
655,470567,7427756,"suave ondulado",5,"Terço superior","Latossolo Vermelho Distroférrico Típico"
615,470804,7431549,"suave ondulado",4,"Terço superior","Latossolo Vermelho Distroférrico Típico"
536,469207,7432403,"ondulado",14,"Terço inferior","Latossolo Vermelho Eutroférrico Típico"
556,471047,7435590,"suave ondulado",4,"Terço inferior","Latossolo Vermelho Distroférrico Típico"
454,472287,7439710,"ondulado",12,"Terço inferior","Latossolo Vermelho Eutroférrico Típico"
489,469772,7437535,"suave ondulado",6,"Terço médio","Latossolo Vermelho Eutroférrico Típico"
533,467420,7437483,"plano",0,"Topo","Latossolo Vermelho Eutroférrico Nitossólico"
526,465348,7438393,"ondulado",9,"Terço médio","Latossolo Vermelho Eutroférrico Típico"
565,459421,7438878,"ondulado",16,"Terço médio","Nitossolo Vermelho Eutroférrico Típico"
550,463503,7442916,"suave ondulado",4,"Topo","Latossolo Vermelho Eutroférrico Típico"
500,467049,7447149,"plano",2,"Terço superior","Latossolo Vermelho Eutroférrico Típico"
453,473304,7449447,"ondulado",6,"Terço médio","Nitossolo Vermelho Eutroférrico Típico"
431,466634,7451118,"plano",1,"Terço superior","Latossolo Vermelho Eutroférrico Típico"
618,478174,7436970,"suave ondulado",5,"Topo","Latossolo Vermelho Eutroférrico Típico"
570,476096,7437587,"suave ondulado",4,"Terço médio","Latossolo Vermelho Eutroférrico Típico"
600,470587,7420413,"ondulado",22,"Terço médio-inferior","Neossolo Regolítico Eutrófico Típico"
600,470587,7420477,"ondulado",19,"Terço inferior","Nitossolo Vermelho Eutroférrico Típico"
600,470587,7420245,"ondulado",16,"Terço médio","Nitossolo Vermelho Eutroférrico Latossólico"
589,470469,7433032,"suave ondulado",4,"Terço médio","Latossolo Vermelho Eutroférrico Típico"
530,486313,7399817,"forte ondulado",20,"terço superior","Nitossolo Vermelho Eutroférrico típico"
608,485894,7399144,"ondulado",12,"terço superior","Nitossolo Vermelho Eutroférrico típico"
517,488251,7395608,"ondulado",10,"terço médio","Latossolo Vermelho Eutroférrico típico"
580,492676,7398296,"ondulado",17,"terço inferior","Latossolo Vermelho Distroférrico típico"
543,492602,7397933,"ondulado",17,"terço inferior","Nitossolo Vermelho Distroférrico típico"
585,494609,7398140,"plano",2,"topo","Latossolo Vermelho Eutroférrico típico"
571,496652,7394960,"forte ondulado",20,"terço médio","Neossolo Regolítico Ta Eutrófico típico"
554,491437,7395172,"ondulado",12,"terço médio","Latossolo Vermelho Distroférrico típico"
525,495094,7396714,"suave ondulado",5,"terço superior","Latossolo Vermelho Distroférrico típico"
600,491507,7389296,"montanhoso",48,"terço superior","Neossolo Litólico Eutrófico típico"
727,490775,7387577,"forte ondulado",24,"terço médio","Neossolo Regolítico Eutrófico típico"
802,490573,7387384,"ondulado",9,"terço inferior","Nitossolo Vermelho Eutroférrico léptico"
744,491348,7384959,"ondulado",14,"cabeceira","Nitossolo Vermelho Eutroférrico típico"
761,491770,7383358,"suave ondulado",5,"terço médio","Latossolo Vermelho Distroférrico típico"
703,495589,7387117,"suave ondulado",3,"terço médio","Latossolo Vermelho Distroférrico típico"
500,484599,7398367,"ondulado",9,"terço superior","Nitossolo Vermelho Eutroférrico típico"
574,481005,7397000,"ondulado",9,"terço inferior","Latossolo Vermelho Eutroférrico típico"
440,481178,7397081,"plano",0,"baixada","Gleissolo Melânico Distrófico típico"
520,478440,7395311,"suave ondulado",7,"terço superior","Latossolo Vermelho Eutroférrico típico"
618,478185,7392247,"forte ondulado",20,"terço médio","Nitossolo Vermelho Eutroférrico típico"
600,480560,7388272,"suave ondulado",5,"terço médio","Latossolo Vermelho Eutroférrico típico"
786,480365,7385484,"suave ondulado",3,"topo","Latossolo Vermelho Eutroférrico típico"
802,478943,7385025,"plano",0,"baixada","Cambissolo Flúvico Eutrófico típico"
640,479224,7384962,"montanhoso",61,"terço médio","Neossolo Regolítico Ta Eutrófico típico"
660,479007,7380417,"ondulado",20,"terço médio","Latossolo Vermelho Distroférrico típico"
640,478596,7378933,"ondulado",16,"terço médio","Latossolo Vermelho Distroférrico típico"
709,478468,7378870,"forte ondulado",25,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
500,471699,7438393,"ondulado",11,"terço médio","Nitossolo Vermelho Eutroférrico típico"
519,473546,7397000,"suave ondulado",5,"terço superior","Latossolo Vermelho Eutroférrico típico"
330,481401,7460197,"plano",1,"topo","Latossolo Vermelho Eutroférrico típico"
599,505355,7398140,"ondulado",13,"terço médio","Cambissolo Háplico Tb Eutrófico léptico"
717,490742,7384959,"ondulado",16,"terço médio","Latossolo Vermelho Eutroférrico nitossólico"
530,485894,7401678,"ondulado",13,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
778,491770,7377974,"suave ondulado",5,"terço superior","Latossolo Vermelho Distroférrico típico"
575,470590,7437587,"plano",2,"topo","Latossolo Vermelho Distroférrico típico"
485,480560,7394421,"ondulado",9,"terço superior","Neossolo Regolítico Ta Eutrófico típico"
560,491669,7395172,"ondulado",14,"terço médio","Nitossolo Vermelho Eutroférrico típico"
623,500851,7378567,"suave ondulado",4,"terço superior","Latossolo Vermelho Distroférrico típico"
727,495589,7387577,"plano",2,"terço superior","Latossolo Vermelho Distroférrico típico"
744,470336,7407659,"plano",1,"topo","Latossolo Vermelho Distroférrico típico"
802,478468,7402214,"ondulado",16,"cabeceira","Nitossolo Vermelho Eutroférrico típico"
500,478468,7410744,"ondulado",9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
548,473649,7394421,"ondulado",9,"terço superior","Nitossolo Vermelho Eutroférrico típico"
562,473546,7394794,"ondulado",10,"terço superior","Nitossolo Vermelho Eutroférrico latossólico"
612,473800,7396336,"ondulado",16,"terço médio","Nitossolo Vermelho Eutroférrico típico"
665,472933,7397328,"ondulado",16,"terço médio","Nitossolo Vermelho Eutroférrico típico"
599,471699,7398301,"forte ondulado",29,"terço médio","Nitossolo Vermelho Eutroférrico típico"
710,470336,7400368,"ondulado",13,"terço superior","Latossolo Vermelho Distroférrico típico"
719,470800,7402214,"plano",2,"topo","Latossolo Vermelho Eutroférrico típico"
792,488465,7379028,"suave ondulado",5,"terço inferior","Latossolo Vermelho Distroférrico típico"
786,491156,7378836,"suave ondulado",4,"terço médio","Latossolo Vermelho Distroférrico típico"
744,490742,7377974,"ondulado",18,"terço inferior","Latossolo Vermelho Distroférrico típico"
727,490565,7377882,"plano",2,"topo","Gleissolo Melânico"
786,493988,7378851,"suave ondulado",4,"terço inferior","Latossolo Vermelho Distroférrico típico"
802,496494,7378567,"ondulado",14,"terço inferior","Neossolo Litólico Eutrófico fragmentário"
771,496394,7378732,"ondulado",19,"topo","Nitossolo Vermelho Eutroférrico típico"
802,500396,7378228,"suave ondulado",4,"terço superior","Latossolo Vermelho Distroférrico típico"
778,500851,7377291,"ondulado",12,"terço superior","Latossolo Vermelho Distroférrico típico"
717,501422,7377440,"forte ondulado",24,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
709,504041,7376520,"ondulado",12,"terço superior","Nitossolo Vermelho Eutroférrico léptico"
697,504032,7376569,"montanhoso",48,"terço inferior","Neossolo Litólico Eutrófico fragmentário"
728,505013,7375138,"forte ondulado",29,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
661,507562,7375129,"ondulado",20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
569,509272,7374707,"montanhoso",40,"terço inferior","Neossolo Regolítico Eutrófico fragmentário"
778,500936,7378911,"suave ondulado",4,"terço superior","Latossolo Vermelho Distroférrico típico"
606,504125,7381695,"plano",2,"baixada","Gleissolo Melânico"
623,504056,7385283,"plano",2,"topo","Nitossolo Vermelho Distroférrico típico"
562,503191,7389283,"suave ondulado",5,"terço superior","Latossolo Vermelho Distroférrico típico"
593,501100,7390322,"suave ondulado",5,"terço superior","Latossolo Vermelho Distroférrico típico"
438,497417,7397812,"plano",1,"baixada","Gleissolo Melânico"
485,498077,7397714,"suave ondulado",3,"terço superior","Latossolo Vermelho Distroférrico típico"
438,497959,7398484,"suave ondulado",5,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
546,500646,7391800,"suave ondulado",8,"terço médio","Latossolo Vermelho Eutroférrico típico"
593,501808,7391827,"suave ondulado",5,"terço superior","Latossolo Vermelho Distroférrico típico"
571,502609,7394553,"forte ondulado",40,"terço médio","Neossolo Regolítico Eutrófico fragmentário"
502,502338,7396714,"ondulado",9,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
502,495972,7401069,"ondulado",9,"terço médio","Latossolo Vermelho Eutroférrico típico"
449,505355,7402613,"ondulado",16,"terço médio","Neossolo Regolítico Eutrófico fragmentário"
448,503980,7403881,"ondulado",13,"terço inferior","Chernossolo Háplico Férrico típico"
448,501332,7404352,"suave ondulado",8,"topo","Latossolo Vermelho Eutroférrico típico"
416,503621,7408366,"ondulado",15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
631,469216,7409055,"ondulado",13,"terço inferior","Latossolo Vermelho Eutroférrico nitossólico"
593,470495,7409184,"forte ondulado",26,"terço inferior","Latossolo Vermelho Eutroférrico típico"
624,471956,7409374,"suave ondulado",6,"terço superior","Latossolo Vermelho Eutroférrico típico"
667,472032,7407659,"plano",2,"topo","Latossolo Vermelho Eutroférrico típico"
617,470994,7407346,"ondulado",20,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
537,475428,7406483,"forte ondulado",41,"terço superior","Neossolo Regolítico Eutrófico típico"
619,475474,7407682,"suave ondulado",4,"terço superior","Latossolo Vermelho Eutroférrico típico"
546,476538,7410744,"ondulado",15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
553,478072,7415409,"plano",0,"Topo","Latossolo Vermelho Distroférrico típico"
557,481500,7412503,"plano",1,"topo","Latossolo Vermelho Distroférrico típico"
449,485368,7411343,"ondulado",16,"terço inferior","Nitossolo Vermelho Eutroférrico típico"
493,483315,7408958,"ondulado",11,"terço superior","Nitossolo Vermelho Eutroférrico típico"
480,485750,7403494,"ondulado",10,"terço médio","Latossolo Vermelho Eutroférrico típico"
519,483551,7401678,"ondulado",15,"terço superior","Neossolo Regolítico Eutrófico típico"
427,491669,7414202,"ondulado",13,"terço médio","Nitossolo Vermelho Eutroférrico latossólico"
435,491747,7412219,"suave ondulado",4,"terço superior","Latossolo Vermelho Eutroférrico típico"
466,490514,7407301,"ondulado",18,"terço médio","Nitossolo Vermelho Eutroférrico típico"
456,491529,7405580,"ondulado",12,"terço superior","Latossolo Vermelho Eutroférrico típico"
423,495021,7410499,"forte ondulado",29,"terço médio","Nitossolo Vermelho Eutroférrico típico"
428,495094,7416660,"suave ondulado",5,"terço médio","Latossolo Vermelho Eutroférrico típico"
540,491529,7401678,"ondulado",15,"terço superior","Neossolo Litólico Eutrófico típico"
557,469279,7412033,"plano",0,"baixada","Gleissolo Melânico"
500,495972,7397933,"plano",0,"baixada","Cambissolo Háplico Tb Eutrófico gleissólico"
786,504041,7376520,"suave ondulado",7,"terço médio","Latossolo Vermelho Eutroférrico típico"
585,503980,7389296,"ondulado",17,"terço médio","Neossolo Regolítico Eutrófico léptico"
470,478174,7449447,"suave ondulado",7,"terço inferior","Latossolo Vermelho Distroférrico típico"
520,502338,7401069,"ondulado",15,"terço médio","Nitossolo Vermelho Eutroférrico típico"
728,491770,7377882,"ondulado",16,"terço inferior","Neossolo Litólico Distrófico típico"
505,497417,7397714,"montanhoso",25,"terço médio","Cambissolo Háplico Tb Distrófico típico"
802,480365,7397328,"montanhoso",41,"terço médio","Cambissolo Háplico Tb Distrófico típico"
727,490742,7383358,"montanhoso",40,"terço inferior","Neossolo Litólico Distrófico típico"
500,481178,7420235,"forte ondulado",25,"terço médio","Cambissolo Háplico Tb Distrófico típico"
585,501332,7391800,"montanhoso",29,"terço médio","Neossolo Regolítico Eutrófico típico"
